Depth (m),Time,Black Carbon (ppb)
2.258,2013.083,0.8
2.265,2013.082,1.25
2.273,2013.081,0.93
2.281,2013.079,1.19
2.288,2013.078,0.99
2.296,2013.076,1.5
2.303,2013.075,1.11
2.311,2013.074,1.6
2.319,2013.072,1.21
2.326,2013.071,1.5
2.334,2013.069,1.59
2.342,2013.068,1.18
2.349,2013.067,1.37
2.357,2013.065,1.6
2.364,2013.064,1.36
2.372,2013.062,1.66
2.38,2013.061,1.25
2.387,2013.06,1.46
2.395,2013.058,1.58
2.402,2013.057,1.4
2.41,2013.055,1.51
2.418,2013.054,1.45
2.425,2013.053,1.46
2.433,2013.051,1.46
2.441,2013.05,1.59
2.448,2013.048,1.11
2.456,2013.047,1.77
2.463,2013.046,1.48
2.471,2013.044,1.45
2.479,2013.043,1.42
2.486,2013.041,1.3
2.494,2013.04,1.28
2.502,2013.038,1.22
2.509,2013.037,0.94
2.517,2013.036,0.85
2.524,2013.034,0.86
2.532,2013.033,0.76
2.539,2013.032,0.65
2.546,2013.03,0.92
2.553,2013.029,1.08
2.561,2013.027,0.87
2.568,2013.026,1.42
2.575,2013.025,1.62
2.582,2013.024,1.57
2.589,2013.022,1.97
2.597,2013.021,1.83
2.604,2013.02,2.46
2.611,2013.018,2.12
2.618,2013.017,2.24
2.625,2013.016,1.78
2.633,2013.014,1.73
2.64,2013.013,1.5
2.647,2013.012,1.2
2.654,2013.01,0.71
2.661,2013.009,0.73
2.668,2013.008,1.18
2.675,2013.006,1.27
2.682,2013.005,0.95
2.689,2013.004,0.71
2.695,2013.003,0.54
2.702,2013.001,0.76
2.709,2013,0.36
2.716,2012.999,0.36
2.722,2012.997,0.3
2.729,2012.996,0.09
2.736,2012.994,0.2
2.743,2012.992,0.07
2.749,2012.991,0.14
2.756,2012.989,0.06
2.763,2012.988,0.18
2.77,2012.986,0.25
2.777,2012.984,0.56
2.783,2012.983,0.73
2.79,2012.981,0.85
2.797,2012.98,0.91
2.803,2012.978,0.75
2.809,2012.977,0.7
2.816,2012.975,0.73
2.822,2012.974,0.73
2.828,2012.972,0.39
2.834,2012.971,0.64
2.841,2012.969,0.64
2.847,2012.968,0.86
2.853,2012.966,0.54
2.86,2012.965,0.36
2.866,2012.963,0.16
2.872,2012.962,0.17
2.879,2012.96,0.01
2.885,2012.959,0.07
2.891,2012.958,0.01
2.897,2012.956,-0.02
2.904,2012.954,0.03
2.91,2012.953,0.11
2.916,2012.952,0.18
2.925,2012.95,0.13
2.933,2012.948,0.02
2.941,2012.946,0.25
2.949,2012.944,0.18
2.957,2012.942,0.25
2.965,2012.94,0.32
2.973,2012.938,0.17
2.981,2012.936,0.12
2.99,2012.934,0.14
2.998,2012.932,0
3.006,2012.931,0.08
3.014,2012.929,0.02
3.022,2012.927,0.22
3.03,2012.925,0.05
3.038,2012.923,0.08
3.046,2012.921,0.02
3.055,2012.919,0.26
3.063,2012.917,0.4
3.071,2012.915,0.27
3.079,2012.913,0.41
3.087,2012.912,0.37
3.095,2012.91,0.47
3.103,2012.908,0.65
3.11,2012.906,1.17
3.118,2012.904,2.32
3.126,2012.902,2.79
3.134,2012.901,3.02
3.142,2012.899,3.95
3.15,2012.897,4.61
3.158,2012.895,4.6
3.166,2012.893,6.62
3.174,2012.891,5.68
3.182,2012.889,3.89
3.19,2012.887,3.32
3.198,2012.886,1.92
3.205,2012.884,1.52
3.213,2012.882,1.18
3.221,2012.88,0.87
3.229,2012.878,1.08
3.237,2012.876,1.34
3.245,2012.874,2
3.253,2012.873,1.84
3.261,2012.871,1.88
3.269,2012.869,2.22
3.277,2012.867,2.35
3.285,2012.865,1.85
3.293,2012.863,1.72
3.301,2012.861,0.83
3.309,2012.859,0.6
3.317,2012.858,0.55
3.325,2012.856,0.48
3.333,2012.854,0.59
3.341,2012.852,0.54
3.349,2012.85,0.67
3.357,2012.848,0.57
3.365,2012.846,0.55
3.373,2012.844,0.36
3.38,2012.843,0.36
3.388,2012.841,0.53
3.395,2012.839,0.55
3.403,2012.837,0.56
3.41,2012.836,0.64
3.418,2012.834,0.46
3.425,2012.832,0.41
3.432,2012.831,0.45
3.44,2012.829,0.53
3.447,2012.827,0.53
3.455,2012.825,0.63
3.462,2012.824,0.57
3.47,2012.822,0.85
3.477,2012.82,0.76
3.485,2012.818,0.53
3.492,2012.817,0.74
3.5,2012.815,0.57
3.507,2012.813,0.83
3.514,2012.811,0.67
3.522,2012.81,0.42
3.529,2012.808,0.4
3.536,2012.806,0.51
3.544,2012.804,0.46
3.551,2012.803,0.35
3.558,2012.801,0.19
3.565,2012.799,0.22
3.573,2012.798,0.14
3.58,2012.796,0.24
3.587,2012.794,0.02
3.595,2012.792,0.02
3.602,2012.791,0.1
3.609,2012.789,0.42
3.617,2012.787,0.16
3.624,2012.786,0.01
3.631,2012.784,0.01
3.638,2012.782,0.05
3.646,2012.78,0.04
3.653,2012.779,0.04
3.66,2012.777,0
3.668,2012.775,0.11
3.675,2012.774,0.17
3.682,2012.772,0.2
3.689,2012.77,0.23
3.697,2012.768,0.15
3.704,2012.767,0.06
3.711,2012.765,0.06
3.718,2012.764,0.31
3.726,2012.762,0.11
3.733,2012.76,0.32
3.74,2012.758,0.16
3.747,2012.757,0.15
3.755,2012.755,0.13
3.762,2012.753,0.19
3.769,2012.752,0.29
3.776,2012.75,0.37
3.784,2012.748,0.4
3.791,2012.746,0.53
3.798,2012.745,0.65
3.805,2012.743,0.47
3.812,2012.741,0.18
3.819,2012.74,0.24
3.826,2012.738,0.47
3.833,2012.737,0.38
3.841,2012.735,0.41
3.848,2012.733,0.34
3.855,2012.731,0.18
3.862,2012.73,0.13
3.869,2012.728,0.17
3.876,2012.726,0.13
3.883,2012.725,0.24
3.89,2012.723,0.31
3.898,2012.721,0.11
3.905,2012.72,0.19
3.912,2012.718,0.14
3.918,2012.717,0.06
3.925,2012.715,0.03
3.932,2012.713,0.05
3.938,2012.712,0.11
3.945,2012.71,0.14
3.951,2012.709,0.05
3.958,2012.707,0.09
3.965,2012.706,0.17
3.971,2012.704,0.24
3.978,2012.703,0.28
3.984,2012.701,0.26
3.991,2012.699,0.17
3.997,2012.698,0.02
4.004,2012.696,-0.14
4.011,2012.695,-0.28
4.017,2012.693,-0.41
4.024,2012.692,-0.51
4.03,2012.69,-0.59
4.037,2012.689,-0.65
4.044,2012.687,-0.69
4.05,2012.686,-0.7
4.057,2012.684,-0.68
4.064,2012.682,-0.64
4.07,2012.681,-0.57
4.077,2012.679,-0.46
4.084,2012.678,-0.33
4.09,2012.676,-0.16
4.097,2012.675,0.04
4.104,2012.673,0.22
4.11,2012.672,0.26
4.117,2012.67,0.43
4.123,2012.669,0.42
4.13,2012.667,0.49
4.137,2012.665,0.6
4.143,2012.664,0.22
4.15,2012.662,0.29
4.157,2012.661,0.12
4.163,2012.659,0.19
4.17,2012.657,0.15
4.177,2012.656,0.03
4.183,2012.654,0.01
4.19,2012.653,0.03
4.196,2012.651,-0.13
4.203,2012.65,0.02
4.21,2012.648,0.54
4.216,2012.647,0.08
4.223,2012.645,0.07
4.229,2012.644,0.2
4.236,2012.642,0.24
4.243,2012.64,0.23
4.249,2012.639,0.18
4.256,2012.637,0.11
4.262,2012.636,0.04
4.269,2012.634,-0.01
4.276,2012.633,-0.04
4.282,2012.631,-0.05
4.289,2012.63,-0.05
4.295,2012.628,-0.03
4.302,2012.627,0.01
4.309,2012.625,0.05
4.315,2012.623,0.11
4.322,2012.622,0.15
4.328,2012.62,0.16
4.335,2012.619,0.16
4.341,2012.617,0.14
4.348,2012.616,0.11
4.355,2012.614,0.06
4.361,2012.613,0
4.368,2012.611,-0.05
4.374,2012.61,0.01
4.381,2012.608,0.14
4.388,2012.606,0.08
4.394,2012.605,0.15
4.401,2012.603,0.15
4.408,2012.602,0.1
4.414,2012.6,0.03
4.421,2012.599,0.02
4.428,2012.597,0.06
4.434,2012.596,0.02
4.441,2012.594,0.01
4.448,2012.592,0.09
4.454,2012.591,0.21
4.461,2012.589,0.31
4.468,2012.588,0.17
4.474,2012.586,0.38
4.481,2012.585,0.57
4.488,2012.583,0.53
4.494,2012.581,0.72
4.501,2012.58,0.97
4.508,2012.578,0.44
4.514,2012.577,0.58
4.521,2012.575,0.38
4.528,2012.574,0.47
4.534,2012.572,0.64
4.541,2012.57,0.4
4.548,2012.569,0.1
4.555,2012.567,0.05
4.561,2012.566,0.07
4.568,2012.564,0.08
4.575,2012.562,0.22
4.582,2012.561,0.22
4.588,2012.559,0.22
4.595,2012.558,0.34
4.602,2012.556,0.37
4.609,2012.555,0.4
4.615,2012.553,0.38
4.622,2012.551,0.36
4.629,2012.55,0.4
4.635,2012.548,0.42
4.642,2012.547,0.4
4.649,2012.545,0.58
4.655,2012.544,0.37
4.662,2012.542,0.39
4.669,2012.54,0.51
4.675,2012.539,0.45
4.682,2012.537,0.55
4.688,2012.536,0.98
4.695,2012.534,0.83
4.701,2012.533,1.31
4.708,2012.531,1.52
4.714,2012.53,1.91
4.721,2012.528,1.88
4.727,2012.527,1.8
4.734,2012.525,1.96
4.74,2012.524,2.01
4.747,2012.522,1.89
4.753,2012.521,1.85
4.76,2012.519,1.63
4.766,2012.518,1.45
4.773,2012.516,1.49
4.779,2012.515,1.52
4.785,2012.513,1.99
4.791,2012.512,1.5
4.797,2012.51,1.47
4.803,2012.509,1.37
4.809,2012.508,1.29
4.815,2012.506,1.77
4.821,2012.505,1.41
4.827,2012.503,1.77
4.833,2012.502,1.24
4.839,2012.501,0.95
4.845,2012.499,0.87
4.851,2012.498,1.04
4.857,2012.496,0.65
4.863,2012.495,0.56
4.869,2012.494,0.54
4.875,2012.492,0.57
4.881,2012.491,0.48
4.887,2012.489,0.57
4.893,2012.488,0.51
4.899,2012.486,0.7
4.906,2012.485,0.65
4.912,2012.483,0.49
4.918,2012.482,0.57
4.924,2012.481,0.81
4.93,2012.479,0.78
4.937,2012.478,0.95
4.943,2012.476,1.05
4.949,2012.475,1.03
4.955,2012.473,0.63
4.961,2012.472,0.35
4.968,2012.47,0.46
4.974,2012.469,0.33
4.98,2012.467,0.7
4.986,2012.466,0.79
4.992,2012.465,0.62
4.999,2012.463,0.88
5.005,2012.462,0.91
5.011,2012.46,0.98
5.018,2012.459,1.4
5.024,2012.457,1.25
5.031,2012.456,0.66
5.037,2012.454,1.31
5.044,2012.452,1.22
5.05,2012.451,0.89
5.056,2012.45,1.41
5.063,2012.448,1.33
5.069,2012.447,2.43
5.076,2012.445,3.69
5.082,2012.444,4.85
5.088,2012.442,5.7
5.095,2012.44,5.89
5.101,2012.439,8.37
5.108,2012.437,10.5
5.114,2012.436,13.32
5.119,2012.435,13.83
5.124,2012.434,12.08
5.129,2012.433,9.58
5.134,2012.431,6.47
5.139,2012.43,4.63
5.144,2012.429,3.69
5.149,2012.428,2.53
5.154,2012.427,1.76
5.159,2012.425,1.82
5.164,2012.424,2.09
5.169,2012.423,2.43
5.174,2012.422,3.13
5.179,2012.421,3.71
5.184,2012.42,5.68
5.189,2012.418,6.83
5.194,2012.417,7.03
5.199,2012.416,6.14
5.204,2012.415,5.12
5.209,2012.414,5.52
5.214,2012.413,5.48
5.219,2012.411,5.26
5.224,2012.41,4.83
5.229,2012.409,5.4
5.235,2012.408,5.82
5.24,2012.406,5.69
5.245,2012.405,6.25
5.25,2012.404,6.49
5.255,2012.403,6.49
5.261,2012.402,5.96
5.266,2012.4,5.65
5.271,2012.399,8.4
5.276,2012.398,11.31
5.281,2012.397,11.09
5.287,2012.395,10.79
5.292,2012.394,11.26
5.297,2012.393,9.54
5.302,2012.392,7.56
5.307,2012.391,6.53
5.312,2012.39,6.78
5.317,2012.388,6.26
5.322,2012.387,4.8
5.328,2012.386,4.25
5.333,2012.385,3.14
5.338,2012.383,2.15
5.343,2012.382,2.5
5.348,2012.381,2.66
5.353,2012.38,6.67
5.358,2012.379,5.06
5.363,2012.378,7.06
5.368,2012.376,8.65
5.373,2012.375,10.42
5.378,2012.374,13.68
5.383,2012.373,19.69
5.388,2012.372,21.34
5.393,2012.371,29.76
5.398,2012.369,36.5
5.403,2012.368,40.7
5.408,2012.367,44.3
5.413,2012.366,44.88
5.418,2012.365,39.75
5.424,2012.363,31.48
5.429,2012.362,24.06
5.434,2012.361,17.59
5.439,2012.36,13.41
5.444,2012.359,10.85
5.45,2012.357,7.84
5.455,2012.356,5.79
5.46,2012.355,5.23
5.465,2012.354,3.43
5.471,2012.352,3.23
5.476,2012.351,2.71
5.481,2012.35,2.4
5.486,2012.349,2.42
5.491,2012.348,2.65
5.497,2012.346,2.63
5.502,2012.345,3.59
5.507,2012.344,4.2
5.513,2012.342,4.1
5.522,2012.34,4.72
5.53,2012.338,5.01
5.539,2012.336,6.13
5.547,2012.334,7.28
5.556,2012.332,6.71
5.564,2012.33,7.14
5.573,2012.328,6.95
5.582,2012.326,6.43
5.59,2012.324,4.6
5.599,2012.322,4.05
5.607,2012.32,3.84
5.616,2012.318,3.45
5.625,2012.316,2.71
5.633,2012.314,3.16
5.642,2012.312,2.18
5.65,2012.31,3.24
5.659,2012.308,2.76
5.668,2012.306,4.22
5.676,2012.304,3.22
5.685,2012.302,3.68
5.693,2012.3,3.22
5.701,2012.298,3.19
5.709,2012.296,3.12
5.718,2012.294,3.65
5.726,2012.292,3.19
5.734,2012.291,3.19
5.742,2012.289,3.17
5.751,2012.287,3.39
5.759,2012.285,3.2
5.767,2012.283,3.99
5.775,2012.281,3.4
5.783,2012.279,3.93
5.792,2012.277,3.63
5.8,2012.275,2.74
5.808,2012.273,2.88
5.816,2012.271,2.34
5.824,2012.269,2.6
5.833,2012.267,4.2
5.841,2012.265,4.06
5.85,2012.263,4.56
5.858,2012.262,3.59
5.867,2012.259,2.83
5.876,2012.257,2.59
5.884,2012.255,2.28
5.893,2012.253,1.85
5.902,2012.251,3.23
5.91,2012.249,3.42
5.919,2012.247,3.15
5.928,2012.245,2.25
5.936,2012.243,1.8
5.945,2012.241,0.93
5.954,2012.239,1.19
5.963,2012.237,0.51
5.971,2012.235,0.48
5.98,2012.233,0.35
5.989,2012.231,0.2
5.997,2012.229,0.3
6.005,2012.227,0.34
6.012,2012.225,0.55
6.02,2012.223,0.73
6.028,2012.222,0.74
6.035,2012.22,1
6.043,2012.218,2.38
6.05,2012.216,3.32
6.058,2012.215,3.03
6.065,2012.213,2.2
6.073,2012.211,2.09
6.08,2012.209,1.56
6.088,2012.208,2.07
6.096,2012.206,2.04
6.103,2012.204,1.86
6.111,2012.202,1.78
6.118,2012.201,1.63
6.126,2012.199,1.36
6.133,2012.197,1.8
6.14,2012.195,1.94
6.146,2012.194,2.78
6.153,2012.192,3.3
6.159,2012.191,3.42
6.165,2012.189,4.06
6.171,2012.188,4.19
6.177,2012.187,4.45
6.183,2012.185,4.59
6.189,2012.184,5.18
6.196,2012.182,5.72
6.202,2012.181,6.28
6.208,2012.179,6.72
6.214,2012.178,6.81
6.22,2012.177,7.3
6.226,2012.175,5.5
6.232,2012.174,4.97
6.239,2012.172,4.76
6.245,2012.171,4.76
6.251,2012.169,5.21
6.257,2012.168,5.36
6.263,2012.166,4.92
6.269,2012.165,4.6
6.275,2012.164,4.86
6.281,2012.162,4.56
6.287,2012.161,5.25
6.293,2012.159,4.37
6.299,2012.158,3.35
6.305,2012.157,2.85
6.311,2012.155,2.96
6.317,2012.154,3.72
6.323,2012.152,3.79
6.329,2012.151,4.33
6.335,2012.15,4.46
6.341,2012.148,3.93
6.347,2012.147,3.79
6.353,2012.145,3.43
6.359,2012.144,2.78
6.365,2012.143,2.8
6.371,2012.141,3.12
6.377,2012.14,3.12
6.383,2012.138,2.78
6.388,2012.137,2.35
6.394,2012.136,2.28
6.4,2012.134,1.82
6.406,2012.133,1.71
6.412,2012.132,3.14
6.418,2012.13,7.17
6.424,2012.129,3.83
6.43,2012.127,2.09
6.436,2012.126,2.16
6.442,2012.124,2.28
6.447,2012.123,2.35
6.453,2012.122,2.18
6.459,2012.121,2.56
6.465,2012.119,2.32
6.471,2012.118,2.51
6.478,2012.116,1.92
6.484,2012.115,1.93
6.491,2012.113,1.37
6.498,2012.111,1.37
6.504,2012.11,1.59
6.511,2012.108,1.32
6.518,2012.107,0.88
6.524,2012.105,1.03
6.531,2012.104,0.75
6.538,2012.102,0.94
6.544,2012.101,0.98
6.551,2012.099,0.88
6.558,2012.097,1.12
6.564,2012.096,0.61
6.571,2012.094,0.66
6.578,2012.093,0.51
6.584,2012.091,0.68
6.591,2012.09,0.31
6.598,2012.088,0.53
6.604,2012.086,0.44
6.611,2012.085,0.38
6.618,2012.083,0.37
6.624,2012.082,0.61
6.631,2012.08,0.8
6.638,2012.079,0.45
6.644,2012.077,0.58
6.651,2012.075,0.73
6.658,2012.074,1.07
6.664,2012.072,1.89
6.671,2012.071,2.59
6.677,2012.069,2.71
6.684,2012.068,3.13
6.691,2012.066,3.15
6.697,2012.065,3.31
6.704,2012.063,3.15
6.711,2012.061,2.71
6.717,2012.06,2.24
6.724,2012.058,2.25
6.73,2012.057,1.91
6.736,2012.056,1.87
6.743,2012.054,1.62
6.749,2012.052,1.53
6.756,2012.051,1.42
6.762,2012.049,1.4
6.769,2012.048,1.3
6.775,2012.046,1.24
6.781,2012.045,0.88
6.788,2012.043,0.95
6.794,2012.042,0.83
6.801,2012.04,0.8
6.807,2012.039,0.83
6.813,2012.037,0.77
6.82,2012.036,0.75
6.826,2012.034,1.02
6.833,2012.033,0.92
6.839,2012.031,0.8
6.846,2012.03,1.05
6.853,2012.028,1.29
6.859,2012.027,1.49
6.866,2012.025,1.02
6.873,2012.023,1.14
6.879,2012.022,1.68
6.886,2012.02,1.4
6.893,2012.019,1.06
6.899,2012.017,0.69
6.906,2012.016,0.9
6.913,2012.014,0.82
6.919,2012.013,1.26
6.926,2012.011,1.23
6.932,2012.01,0.82
6.939,2012.008,0.79
6.946,2012.006,0.91
6.952,2012.005,0.74
6.959,2012.003,1
6.966,2012.002,0.61
6.972,2012,0.87
6.978,2011.999,0.95
6.985,2011.997,0.85
6.991,2011.995,0.97
6.998,2011.994,0.92
7.004,2011.992,0.85
7.011,2011.99,0.96
7.017,2011.989,1.05
7.023,2011.987,1.35
7.03,2011.985,0.93
7.036,2011.984,1.29
7.043,2011.982,0.98
7.049,2011.98,0.99
7.056,2011.979,1.06
7.062,2011.977,1
7.069,2011.975,1.09
7.075,2011.974,1.15
7.082,2011.972,0.94
7.088,2011.97,1.07
7.095,2011.969,1.19
7.102,2011.967,1.03
7.108,2011.965,0.97
7.115,2011.963,0.94
7.122,2011.962,0.8
7.129,2011.96,1.11
7.135,2011.958,1.18
7.142,2011.957,1.03
7.149,2011.955,1.3
7.156,2011.953,1.01
7.162,2011.951,1.14
7.169,2011.95,1.22
7.176,2011.948,1.24
7.182,2011.946,1.06
7.189,2011.944,1.11
7.196,2011.943,1.41
7.203,2011.941,1.49
7.209,2011.939,1.03
7.215,2011.938,0.88
7.221,2011.936,1.35
7.227,2011.935,1.61
7.233,2011.933,1.54
7.24,2011.931,1.86
7.246,2011.93,2
7.252,2011.928,2.09
7.258,2011.927,2.02
7.264,2011.925,1.9
7.27,2011.924,1.55
7.277,2011.922,1.5
7.283,2011.92,1.55
7.289,2011.919,1.58
7.295,2011.917,1.55
7.301,2011.916,1.69
7.308,2011.914,1.95
7.314,2011.912,1.96
7.32,2011.911,1.88
7.325,2011.91,2.21
7.331,2011.908,1.99
7.337,2011.906,2.24
7.343,2011.905,1.89
7.348,2011.904,2.31
7.354,2011.902,2.07
7.36,2011.901,1.97
7.366,2011.899,1.81
7.371,2011.898,1.62
7.377,2011.896,1.86
7.383,2011.895,1.71
7.389,2011.893,2.08
7.394,2011.892,1.56
7.4,2011.89,1.83
7.406,2011.889,1.76
7.411,2011.887,1.72
7.417,2011.886,1.32
7.423,2011.884,1.48
7.428,2011.883,1.41
7.433,2011.882,1.6
7.438,2011.881,1.34
7.443,2011.879,1.42
7.448,2011.878,1.66
7.453,2011.877,1.73
7.458,2011.875,1.77
7.463,2011.874,1.89
7.468,2011.873,1.9
7.473,2011.872,2.34
7.477,2011.871,2.79
7.482,2011.869,2.2
7.487,2011.868,2.01
7.492,2011.867,2.04
7.497,2011.865,2.33
7.502,2011.864,1.41
7.507,2011.863,1.28
7.512,2011.862,1.02
7.526,2011.858,1.75
7.529,2011.857,0.67
7.532,2011.856,0.84
7.535,2011.856,0.76
7.538,2011.855,0.98
7.541,2011.854,0.74
7.544,2011.853,0.7
7.547,2011.853,0.92
7.55,2011.852,1.09
7.554,2011.851,1.4
7.557,2011.85,1.27
7.56,2011.849,1.1
7.563,2011.848,1.71
7.566,2011.848,1.44
7.569,2011.847,1.74
7.572,2011.846,1.78
7.575,2011.845,2.43
7.578,2011.845,1.24
7.581,2011.844,0.29
7.584,2011.843,0.23
7.587,2011.842,0.47
7.59,2011.842,0.29
7.593,2011.841,0.43
7.596,2011.84,0.28
7.599,2011.839,0.23
7.602,2011.838,0.26
7.606,2011.837,0.61
7.609,2011.837,0.47
7.612,2011.836,0.67
7.615,2011.835,0.74
7.618,2011.834,0.71
7.621,2011.834,0.48
7.624,2011.833,0.56
7.627,2011.832,0.42
7.63,2011.831,0.54
7.633,2011.83,0.4
7.636,2011.83,0.33
7.639,2011.829,0.99
7.642,2011.828,1.71
7.645,2011.827,1.86
7.648,2011.827,1.96
7.652,2011.826,1.73
7.656,2011.825,2.31
7.659,2011.824,2.15
7.663,2011.823,2.31
7.666,2011.822,1.71
7.67,2011.821,1.95
7.674,2011.82,1.96
7.677,2011.819,2.05
7.681,2011.818,2.58
7.685,2011.817,3.35
7.688,2011.816,3.4
7.692,2011.815,4.28
7.695,2011.815,4.43
7.699,2011.814,5.02
7.703,2011.813,5.88
7.706,2011.812,6.44
7.71,2011.811,6.46
7.713,2011.81,6.81
7.717,2011.809,6.68
7.721,2011.808,6.76
7.725,2011.807,5.23
7.729,2011.806,4.31
7.733,2011.805,4.39
7.737,2011.804,4.02
7.741,2011.803,3.53
7.745,2011.802,4.04
7.749,2011.801,4.39
7.753,2011.8,3.35
7.757,2011.799,3.92
7.761,2011.798,3.59
7.765,2011.797,3.65
7.769,2011.796,3.91
7.773,2011.795,4.25
7.777,2011.794,3.86
7.781,2011.792,3.7
7.785,2011.791,4.08
7.789,2011.79,3.74
7.792,2011.79,3.5
7.801,2011.787,3.89
7.812,2011.785,3.93
7.822,2011.782,4.31
7.833,2011.779,4.2
7.844,2011.776,4.29
7.854,2011.774,5.75
7.865,2011.771,5.81
7.876,2011.768,6.01
7.886,2011.766,6.27
7.897,2011.763,6.07
7.901,2011.762,1.3
7.904,2011.761,1.18
7.908,2011.76,0.64
7.912,2011.759,0.73
7.915,2011.758,0.41
7.919,2011.757,0.66
7.923,2011.756,0.53
7.926,2011.755,0.68
7.93,2011.754,0.51
7.934,2011.753,0.55
7.937,2011.752,0.36
7.941,2011.751,0.4
7.945,2011.75,0.4
7.948,2011.75,0.49
7.952,2011.749,0.57
7.956,2011.748,0.55
7.959,2011.747,0.73
7.963,2011.746,0.56
7.967,2011.745,0.69
7.97,2011.744,0.4
7.974,2011.743,0.38
7.978,2011.742,0.47
7.981,2011.741,0.86
7.985,2011.74,0.79
7.989,2011.739,0.96
7.992,2011.738,1.22
7.996,2011.737,1.07
7.999,2011.737,1.29
8.003,2011.736,1.37
8.007,2011.734,0.8
8.01,2011.734,0.9
8.014,2011.733,1.03
8.018,2011.732,0.95
8.021,2011.731,0.94
8.025,2011.73,1.1
8.031,2011.728,0.91
8.036,2011.727,0.92
8.041,2011.726,0.77
8.047,2011.724,0.58
8.052,2011.723,0.44
8.058,2011.721,0.49
8.063,2011.72,0.49
8.068,2011.719,0.55
8.074,2011.717,0.54
8.079,2011.716,0.34
8.085,2011.714,0.42
8.09,2011.713,0.37
8.095,2011.712,0.44
8.101,2011.71,0.41
8.106,2011.709,0.56
8.112,2011.708,0.46
8.117,2011.706,0.57
8.122,2011.705,0.48
8.128,2011.703,0.51
8.132,2011.702,0.62
8.137,2011.701,0.4
8.142,2011.7,0.5
8.147,2011.699,0.33
8.152,2011.697,0.21
8.156,2011.696,0.37
8.161,2011.695,0.35
8.166,2011.694,0.36
8.171,2011.692,0.22
8.175,2011.691,0.32
8.18,2011.69,0.27
8.185,2011.689,0.31
8.19,2011.687,0.19
8.195,2011.686,0.28
8.199,2011.685,0.21
8.204,2011.684,0.17
8.209,2011.683,0.21
8.214,2011.681,0.17
8.219,2011.68,0.26
8.223,2011.679,0.23
8.228,2011.678,0.17
8.232,2011.677,0.16
8.237,2011.675,0.1
8.241,2011.674,0.14
8.246,2011.673,0.13
8.251,2011.672,0.09
8.255,2011.671,0.09
8.26,2011.67,0.06
8.264,2011.668,0.08
8.269,2011.667,0.06
8.273,2011.666,0.13
8.278,2011.665,0.06
8.283,2011.664,0.11
8.287,2011.663,0.04
8.292,2011.661,0.06
8.296,2011.66,0.13
8.301,2011.659,0.06
8.305,2011.658,0.07
8.31,2011.657,0.12
8.315,2011.655,0.45
8.319,2011.654,0.63
8.325,2011.653,0.83
8.33,2011.652,2.1
8.335,2011.65,7.11
8.341,2011.649,11.26
8.346,2011.647,10.46
8.352,2011.646,8.9
8.357,2011.645,6.9
8.363,2011.643,5.79
8.368,2011.642,4.92
8.373,2011.641,4.05
8.379,2011.639,3.75
8.384,2011.638,2.94
8.39,2011.636,3.05
8.395,2011.635,2.56
8.401,2011.633,2.34
8.406,2011.632,2.15
8.411,2011.631,1.46
8.417,2011.629,1.5
8.422,2011.628,1.32
8.428,2011.626,1.11
8.433,2011.625,0.85
8.439,2011.624,0.61
8.444,2011.622,0.44
8.45,2011.621,0.57
8.456,2011.619,0.37
8.461,2011.618,0.48
8.467,2011.616,0.36
8.473,2011.615,0.56
8.478,2011.614,0.75
8.484,2011.612,1.05
8.488,2011.611,0.83
8.491,2011.61,0.44
8.495,2011.609,0.5
8.499,2011.608,0.62
8.503,2011.607,0.93
8.506,2011.606,1.08
8.51,2011.605,1.24
8.514,2011.604,1.71
8.518,2011.603,1.79
8.521,2011.603,1.98
8.525,2011.601,2.31
8.529,2011.6,2.34
8.532,2011.6,2.14
8.536,2011.599,1.97
8.54,2011.598,1.64
8.544,2011.597,1.38
8.547,2011.596,1.05
8.551,2011.595,0.58
8.555,2011.594,0.63
8.559,2011.593,0.55
8.562,2011.592,0.54
8.566,2011.591,0.6
8.57,2011.59,0.34
8.573,2011.589,0.46
8.577,2011.588,0.21
8.581,2011.587,0.37
8.585,2011.586,0.21
8.588,2011.585,0.28
8.592,2011.584,0.09
8.596,2011.583,0.12
8.599,2011.582,0.04
8.603,2011.581,0.14
8.607,2011.58,0.08
8.611,2011.579,0.01
8.614,2011.579,0.12
8.618,2011.578,0.17
8.622,2011.577,0.19
8.624,2011.576,0.19
8.626,2011.576,0.18
8.628,2011.575,0.13
8.63,2011.575,0.05
8.633,2011.574,0
8.635,2011.573,0.02
8.637,2011.573,0.07
8.639,2011.572,0.07
8.642,2011.571,0.01
8.644,2011.571,0.07
8.646,2011.57,0.05
8.648,2011.57,0.06
8.651,2011.569,0.42
8.653,2011.569,0.47
8.655,2011.568,0.85
8.657,2011.568,0.64
8.66,2011.567,0.51
8.662,2011.566,0.32
8.666,2011.565,0.32
8.672,2011.564,0.31
8.678,2011.562,0.21
8.684,2011.561,0.13
8.69,2011.559,0.1
8.696,2011.558,0.17
8.702,2011.556,0.23
8.708,2011.555,0.68
8.714,2011.553,1.12
8.72,2011.551,1.4
8.726,2011.55,1.44
8.733,2011.548,1.41
8.739,2011.547,0.71
8.745,2011.545,0.74
8.751,2011.543,0.62
8.757,2011.542,0.83
8.763,2011.54,0.63
8.769,2011.539,0.89
8.775,2011.537,0.87
8.779,2011.536,0.56
8.783,2011.535,0.49
